dt,euler_rel_energy_final,rk4_rel_energy_final
0.02,0.7116112396184529,-1.0117049820124184e-07
0.01,0.5949172317840078,-3.161820361086144e-09
0.005,0.48861476128347414,-9.88367165888349e-11
0.0025,0.3577167152290838,-3.0788704918904853e-12
0.00125,0.24347056170537906,-1.2456702336294261e-13
